Date,Months_Since_Halving,Open,High,Low,Close,Fechamento,Volume,VIX,
01/10/2011,-11,"5,10","5,30","2,00","3,30",Queda,1 730 000,"32,83",
01/09/2011,-12,"8,20","8,70","4,20","5,10",Queda,1 490 000,"36,53",
01/08/2011,-13,"13,40","13,60","5,70","8,20",Queda,1 220 000,"35,03",
01/07/2011,-14,"16,10","16,70","11,00","13,40",Queda,1 050 000,"19,23",
01/06/2011,-15,"8,70","31,90","8,30","16,10",Alta,1 360 000,"19,15",
01/05/2011,-16,"3,50","9,50","2,50","8,70",Alta,949 020,"16,91",
01/04/2011,-17,"0,80","4,20","0,60","3,50",Alta,868 760,"16,24",
01/03/2011,-18,"0,90","1,00","0,70","0,80",Queda,243 300,"20,72",
01/02/2011,-19,"0,50","1,10","0,50","0,90",Alta,367 300,"17,43",
01/01/2011,-20,"0,30","0,90","0,30","0,50",Alta,377 750,"17,32",
01/12/2010,-21,"0,20","0,30","0,20","0,30",Alta,263 650,"17,57",
01/11/2010,-22,"0,20","0,50","0,10","0,20",Alta,826 250,"20,10",
01/10/2010,-23,"0,10","0,20","0,00","0,20",Alta,1 110 000,"20,37",
01/09/2010,-24,"0,10","0,20","0,10","0,10",Alta,216 810,"22,52",
01/08/2010,-25,"0,10","0,10","0,00","0,10",Alta,221 740,"24,75",
